2024;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
15.07;05:25;11:52;18:20;12:54:27;−0:23;04:06;04:34;05:02;18:43;19:10;19:38
16.07;05:25;11:52;18:19;12:54:03;−0:24;04:07;04:35;05:02;18:43;19:10;19:38
17.07;05:26;11:52;18:19;12:53:39;−0:24;04:07;04:35;05:02;18:43;19:10;19:38
18.07;05:26;11:53;18:19;12:53:15;−0:24;04:08;04:35;05:03;18:42;19:10;19:38
19.07;05:26;11:53;18:19;12:52:49;−0:26;04:08;04:36;05:03;18:42;19:09;19:37
20.07;05:27;11:53;18:19;12:52:23;−0:26;04:08;04:36;05:03;18:42;19:09;19:37
21.07;05:27;11:53;18:19;12:51:55;−0:28;04:09;04:37;05:04;18:42;19:09;19:37
22.07;05:27;11:53;18:19;12:51:27;−0:28;04:09;04:37;05:04;18:42;19:09;19:36
23.07;05:27;11:53;18:18;12:50:58;−0:29;04:10;04:37;05:04;18:41;19:08;19:36
24.07;05:28;11:53;18:18;12:50:28;−0:30;04:10;04:38;05:05;18:41;19:08;19:36
25.07;05:28;11:53;18:18;12:49:58;−0:30;04:11;04:38;05:05;18:41;19:08;19:35
26.07;05:28;11:53;18:18;12:49:27;−0:31;04:11;04:38;05:05;18:41;19:08;19:35
27.07;05:29;11:53;18:17;12:48:55;−0:32;04:11;04:39;05:06;18:40;19:07;19:35
28.07;05:29;11:53;18:17;12:48:23;−0:32;04:12;04:39;05:06;18:40;19:07;19:34
29.07;05:29;11:53;18:17;12:47:50;−0:33;04:12;04:39;05:06;18:40;19:06;19:34
30.07;05:29;11:53;18:17;12:47:16;−0:34;04:13;04:40;05:07;18:39;19:06;19:33
31.07;05:30;11:53;18:16;12:46:42;−0:34;04:13;04:40;05:07;18:39;19:06;19:33
01.08;05:30;11:53;18:16;12:46:07;−0:35;04:13;04:40;05:07;18:39;19:05;19:32
02.08;05:30;11:53;18:16;12:45:32;−0:35;04:14;04:41;05:07;18:38;19:05;19:32
03.08;05:30;11:53;18:15;12:44:55;−0:37;04:14;04:41;05:08;18:38;19:04;19:31
04.08;05:31;11:53;18:15;12:44:19;−0:36;04:15;04:41;05:08;18:37;19:04;19:31
05.08;05:31;11:53;18:14;12:43:42;−0:37;04:15;04:42;05:08;18:37;19:03;19:30
06.08;05:31;11:53;18:14;12:43:05;−0:37;04:15;04:42;05:09;18:37;19:03;19:30
07.08;05:31;11:52;18:14;12:42:27;−0:38;04:16;04:42;05:09;18:36;19:02;19:29
08.08;05:31;11:52;18:13;12:41:48;−0:39;04:16;04:43;05:09;18:36;19:02;19:29
09.08;05:32;11:52;18:13;12:41:08;−0:40;04:16;04:43;05:09;18:35;19:01;19:28
10.08;05:32;11:52;18:12;12:40:29;−0:39;04:17;04:43;05:09;18:35;19:01;19:27
11.08;05:32;11:52;18:12;12:39:50;−0:39;04:17;04:44;05:10;18:34;19:00;19:27
12.08;05:32;11:52;18:11;12:39:09;−0:41;04:17;04:44;05:10;18:34;19:00;19:26
13.08;05:32;11:52;18:11;12:38:28;−0:41;04:18;04:44;05:10;18:33;18:59;19:26
14.08;05:33;11:51;18:10;12:37:47;−0:41;04:18;04:44;05:10;18:33;18:59;19:25
15.08;05:33;11:51;18:10;12:37:05;−0:42;04:18;04:45;05:11;18:32;18:58;19:24
16.08;05:33;11:51;18:09;12:36:24;−0:41;04:19;04:45;05:11;18:31;18:57;19:24
17.08;05:33;11:51;18:09;12:35:41;−0:43;04:19;04:45;05:11;18:31;18:57;19:23
18.08;05:33;11:51;18:08;12:34:59;−0:42;04:19;04:45;05:11;18:30;18:56;19:22
19.08;05:33;11:51;18:08;12:34:15;−0:44;04:19;04:46;05:11;18:30;18:55;19:22
20.08;05:34;11:50;18:07;12:33:32;−0:43;04:20;04:46;05:12;18:29;18:55;19:21
21.08;05:34;11:50;18:06;12:32:49;−0:43;04:20;04:46;05:12;18:28;18:54;19:20
22.08;05:34;11:50;18:06;12:32:04;−0:45;04:20;04:46;05:12;18:28;18:53;19:19
23.08;05:34;11:50;18:05;12:31:21;−0:43;04:21;04:46;05:12;18:27;18:53;19:19
24.08;05:34;11:49;18:05;12:30:36;−0:45;04:21;04:47;05:12;18:27;18:52;19:18
25.08;05:34;11:49;18:04;12:29:52;−0:44;04:21;04:47;05:12;18:26;18:51;19:17
26.08;05:34;11:49;18:03;12:29:06;−0:46;04:21;04:47;05:12;18:25;18:51;19:16
27.08;05:34;11:49;18:03;12:28:22;−0:44;04:21;04:47;05:13;18:24;18:50;19:16
28.08;05:34;11:48;18:02;12:27:36;−0:46;04:22;04:47;05:13;18:24;18:49;19:15
29.08;05:35;11:48;18:01;12:26:50;−0:46;04:22;04:47;05:13;18:23;18:48;19:14
30.08;05:35;11:48;18:01;12:26:04;−0:46;04:22;04:48;05:13;18:22;18:48;19:13
31.08;05:35;11:47;18:00;12:25:18;−0:46;04:22;04:48;05:13;18:22;18:47;19:12
01.09;05:35;11:47;17:59;12:24:32;−0:46;04:22;04:48;05:13;18:21;18:46;19:12
02.09;05:35;11:47;17:59;12:23:46;−0:46;04:23;04:48;05:13;18:20;18:45;19:11
03.09;05:35;11:46;17:58;12:22:59;−0:47;04:23;04:48;05:13;18:19;18:45;19:10
04.09;05:35;11:46;17:57;12:22:12;−0:47;04:23;04:48;05:13;18:19;18:44;19:09
05.09;05:35;11:46;17:56;12:21:25;−0:47;04:23;04:48;05:13;18:18;18:43;19:08
06.09;05:35;11:45;17:56;12:20:38;−0:47;04:23;04:48;05:13;18:17;18:42;19:08
07.09;05:35;11:45;17:55;12:19:51;−0:47;04:23;04:48;05:14;18:16;18:42;19:07
08.09;05:35;11:45;17:54;12:19:04;−0:47;04:23;04:49;05:14;18:16;18:41;19:06
09.09;05:35;11:44;17:53;12:18:16;−0:48;04:23;04:49;05:14;18:15;18:40;19:05
10.09;05:35;11:44;17:53;12:17:29;−0:47;04:24;04:49;05:14;18:14;18:39;19:04
11.09;05:35;11:44;17:52;12:16:40;−0:49;04:24;04:49;05:14;18:13;18:38;19:04
12.09;05:35;11:43;17:51;12:15:53;−0:47;04:24;04:49;05:14;18:13;18:38;19:03
13.09;05:35;11:43;17:50;12:15:05;−0:48;04:24;04:49;05:14;18:12;18:37;19:02
14.09;05:35;11:43;17:50;12:14:17;−0:48;04:24;04:49;05:14;18:11;18:36;19:01
15.09;05:35;11:42;17:49;12:13:29;−0:48;04:24;04:49;05:14;18:10;18:35;19:00
16.09;05:35;11:42;17:48;12:12:41;−0:48;04:24;04:49;05:14;18:10;18:34;18:59
17.09;05:35;11:41;17:47;12:11:53;−0:48;04:24;04:49;05:14;18:09;18:34;18:59
18.09;05:36;11:41;17:47;12:11:04;−0:49;04:24;04:49;05:14;18:08;18:33;18:58
19.09;05:36;11:41;17:46;12:10:16;−0:48;04:24;04:49;05:14;18:07;18:32;18:57
20.09;05:36;11:40;17:45;12:09:28;−0:48;04:24;04:49;05:14;18:06;18:31;18:56
21.09;05:36;11:40;17:44;12:08:39;−0:49;04:25;04:49;05:14;18:06;18:30;18:55
22.09;05:36;11:40;17:43;12:07:51;−0:48;04:25;04:49;05:14;18:05;18:30;18:55
23.09;05:36;11:39;17:43;12:07:03;−0:48;04:25;04:49;05:14;18:04;18:29;18:54
24.09;05:36;11:39;17:42;12:06:15;−0:48;04:25;04:50;05:14;18:03;18:28;18:53
25.09;05:36;11:38;17:41;12:05:26;−0:49;04:25;04:50;05:14;18:03;18:27;18:52
26.09;05:36;11:38;17:40;12:04:38;−0:48;04:25;04:50;05:14;18:02;18:27;18:51
27.09;05:36;11:38;17:40;12:03:50;−0:48;04:25;04:50;05:14;18:01;18:26;18:51
28.09;05:36;11:37;17:39;12:03:02;−0:48;04:25;04:50;05:15;18:00;18:25;18:50
29.09;05:36;11:37;17:38;12:02:12;−0:50;04:25;04:50;05:15;18:00;18:24;18:49
30.09;05:36;11:37;17:37;12:01:25;−0:47;04:25;04:50;05:15;17:59;18:24;18:48
01.10;05:36;11:36;17:37;12:00:36;−0:49;04:25;04:50;05:15;17:58;18:23;18:48
02.10;05:36;11:36;17:36;11:59:48;−0:48;04:25;04:50;05:15;17:57;18:22;18:47
03.10;05:36;11:36;17:35;11:59:00;−0:48;04:25;04:50;05:15;17:57;18:21;18:46
04.10;05:36;11:35;17:34;11:58:12;−0:48;04:25;04:50;05:15;17:56;18:21;18:45
05.10;05:36;11:35;17:34;11:57:24;−0:48;04:25;04:50;05:15;17:55;18:20;18:45
06.10;05:36;11:35;17:33;11:56:36;−0:48;04:25;04:50;05:15;17:54;18:19;18:44
07.10;05:37;11:34;17:32;11:55:48;−0:48;04:25;04:50;05:15;17:54;18:19;18:43
08.10;05:37;11:34;17:32;11:55:01;−0:47;04:26;04:50;05:15;17:53;18:18;18:43
09.10;05:37;11:34;17:31;11:54:13;−0:48;04:26;04:50;05:15;17:52;18:17;18:42
10.10;05:37;11:34;17:30;11:53:25;−0:48;04:26;04:51;05:15;17:52;18:17;18:41
11.10;05:37;11:33;17:30;11:52:38;−0:47;04:26;04:51;05:16;17:51;18:16;18:41
12.10;05:37;11:33;17:29;11:51:51;−0:47;04:26;04:51;05:16;17:50;18:15;18:40
13.10;05:37;11:33;17:28;11:51:04;−0:47;04:26;04:51;05:16;17:50;18:15;18:40
14.10;05:37;11:33;17:28;11:50:17;−0:47;04:26;04:51;05:16;17:49;18:14;18:39
15.10;05:38;11:32;17:27;11:49:30;−0:47;04:26;04:51;05:16;17:49;18:14;18:38
16.10;05:38;11:32;17:26;11:48:43;−0:47;04:26;04:51;05:16;17:48;18:13;18:38
17.10;05:38;11:32;17:26;11:47:57;−0:46;04:26;04:51;05:16;17:47;18:12;18:37
18.10;05:38;11:32;17:25;11:47:11;−0:46;04:27;04:51;05:16;17:47;18:12;18:37
19.10;05:38;11:32;17:25;11:46:25;−0:46;04:27;04:52;05:17;17:46;18:11;18:36
20.10;05:39;11:31;17:24;11:45:39;−0:46;04:27;04:52;05:17;17:46;18:11;18:36
21.10;05:39;11:31;17:24;11:44:54;−0:45;04:27;04:52;05:17;17:45;18:10;18:35
22.10;05:39;11:31;17:23;11:44:08;−0:46;04:27;04:52;05:17;17:45;18:10;18:35
23.10;05:39;11:31;17:23;11:43:23;−0:45;04:27;04:52;05:17;17:44;18:09;18:34
24.10;05:39;11:31;17:22;11:42:39;−0:44;04:27;04:52;05:18;17:44;18:09;18:34
25.10;05:40;11:31;17:22;11:41:54;−0:45;04:28;04:53;05:18;17:43;18:09;18:34
26.10;05:40;11:31;17:21;11:41:10;−0:44;04:28;04:53;05:18;17:43;18:08;18:33
27.10;05:40;11:30;17:21;11:40:26;−0:44;04:28;04:53;05:18;17:42;18:08;18:33
28.10;05:40;11:30;17:20;11:39:42;−0:44;04:28;04:53;05:19;17:42;18:07;18:32
29.10;05:41;11:30;17:20;11:38:59;−0:43;04:28;04:54;05:19;17:42;18:07;18:32
30.10;05:41;11:30;17:19;11:38:16;−0:43;04:29;04:54;05:19;17:41;18:07;18:32
31.10;05:41;11:30;17:19;11:37:33;−0:43;04:29;04:54;05:19;17:41;18:06;18:32
01.11;05:42;11:30;17:19;11:36:51;−0:42;04:29;04:54;05:20;17:41;18:06;18:31
02.11;05:42;11:30;17:18;11:36:09;−0:42;04:29;04:55;05:20;17:40;18:06;18:31
03.11;05:42;11:30;17:18;11:35:28;−0:41;04:30;04:55;05:20;17:40;18:05;18:31
04.11;05:43;11:30;17:18;11:34:47;−0:41;04:30;04:55;05:21;17:40;18:05;18:31
05.11;05:43;11:30;17:17;11:34:06;−0:41;04:30;04:55;05:21;17:39;18:05;18:30
06.11;05:43;11:30;17:17;11:33:26;−0:40;04:30;04:56;05:21;17:39;18:05;18:30
07.11;05:44;11:30;17:17;11:32:46;−0:40;04:31;04:56;05:22;17:39;18:04;18:30
08.11;05:44;11:30;17:16;11:32:07;−0:39;04:31;04:56;05:22;17:39;18:04;18:30
09.11;05:45;11:30;17:16;11:31:28;−0:39;04:31;04:57;05:22;17:38;18:04;18:30
10.11;05:45;11:31;17:16;11:30:50;−0:38;04:32;04:57;05:23;17:38;18:04;18:30
11.11;05:46;11:31;17:16;11:30:12;−0:38;04:32;04:57;05:23;17:38;18:04;18:29
12.11;05:46;11:31;17:16;11:29:35;−0:37;04:32;04:58;05:24;17:38;18:04;18:29
13.11;05:46;11:31;17:15;11:29:00;−0:35;04:33;04:58;05:24;17:38;18:04;18:29
14.11;05:47;11:31;17:15;11:28:23;−0:37;04:33;04:59;05:24;17:38;18:04;18:29
15.11;05:47;11:31;17:15;11:27:48;−0:35;04:33;04:59;05:25;17:38;18:04;18:29
16.11;05:48;11:31;17:15;11:27:13;−0:35;04:34;04:59;05:25;17:38;18:03;18:29
17.11;05:48;11:32;17:15;11:26:40;−0:33;04:34;05:00;05:26;17:37;18:03;18:29
18.11;05:49;11:32;17:15;11:26:06;−0:34;04:34;05:00;05:26;17:37;18:03;18:29
19.11;05:49;11:32;17:15;11:25:34;−0:32;04:35;05:01;05:27;17:37;18:03;18:29
20.11;05:50;11:32;17:15;11:25:02;−0:32;04:35;05:01;05:27;17:37;18:04;18:29
21.11;05:50;11:33;17:15;11:24:30;−0:32;04:36;05:01;05:28;17:37;18:04;18:29
22.11;05:51;11:33;17:15;11:24:00;−0:30;04:36;05:02;05:28;17:37;18:04;18:30
23.11;05:51;11:33;17:15;11:23:30;−0:30;04:36;05:02;05:29;17:38;18:04;18:30
24.11;05:52;11:33;17:15;11:23:02;−0:28;04:37;05:03;05:29;17:38;18:04;18:30
25.11;05:52;11:34;17:15;11:22:34;−0:28;04:37;05:03;05:30;17:38;18:04;18:30
26.11;05:53;11:34;17:15;11:22:06;−0:28;04:38;05:04;05:30;17:38;18:04;18:30
27.11;05:53;11:34;17:15;11:21:39;−0:27;04:38;05:04;05:31;17:38;18:04;18:30
28.11;05:54;11:35;17:15;11:21:13;−0:26;04:39;05:05;05:31;17:38;18:04;18:31
29.11;05:55;11:35;17:15;11:20:50;−0:23;04:39;05:05;05:32;17:38;18:05;18:31
30.11;05:55;11:35;17:16;11:20:26;−0:24;04:40;05:06;05:32;17:38;18:05;18:31
01.12;05:56;11:36;17:16;11:20:02;−0:24;04:40;05:06;05:33;17:39;18:05;18:31
02.12;05:56;11:36;17:16;11:19:41;−0:21;04:40;05:07;05:33;17:39;18:05;18:32
03.12;05:57;11:36;17:16;11:19:20;−0:21;04:41;05:07;05:34;17:39;18:06;18:32
04.12;05:57;11:37;17:16;11:18:59;−0:21;04:41;05:08;05:34;17:39;18:06;18:32
05.12;05:58;11:37;17:17;11:18:41;−0:18;04:42;05:08;05:35;17:40;18:06;18:32
06.12;05:58;11:38;17:17;11:18:22;−0:19;04:42;05:09;05:35;17:40;18:06;18:33
07.12;05:59;11:38;17:17;11:18:06;−0:16;04:43;05:09;05:36;17:40;18:07;18:33
08.12;06:00;11:38;17:17;11:17:49;−0:17;04:43;05:10;05:36;17:40;18:07;18:33
09.12;06:00;11:39;17:18;11:17:34;−0:15;04:44;05:10;05:37;17:41;18:07;18:34
10.12;06:01;11:39;17:18;11:17:21;−0:13;04:44;05:11;05:37;17:41;18:08;18:34
11.12;06:01;11:40;17:18;11:17:08;−0:13;04:45;05:11;05:38;17:42;18:08;18:35
12.12;06:02;11:40;17:19;11:16:56;−0:12;04:45;05:12;05:39;17:42;18:09;18:35
13.12;06:02;11:41;17:19;11:16:45;−0:11;04:46;05:12;05:39;17:42;18:09;18:35
14.12;06:03;11:41;17:19;11:16:35;−0:10;04:46;05:13;05:40;17:43;18:09;18:36
15.12;06:03;11:42;17:20;11:16:27;−0:08;04:47;05:13;05:40;17:43;18:10;18:36
16.12;06:04;11:42;17:20;11:16:19;−0:08;04:47;05:14;05:41;17:43;18:10;18:37
17.12;06:04;11:43;17:21;11:16:13;−0:06;04:48;05:14;05:41;17:44;18:11;18:37
18.12;06:05;11:43;17:21;11:16:08;−0:05;04:48;05:15;05:42;17:44;18:11;18:38
19.12;06:05;11:43;17:22;11:16:04;−0:04;04:49;05:15;05:42;17:45;18:12;18:38
20.12;06:06;11:44;17:22;11:16:01;−0:03;04:49;05:16;05:43;17:45;18:12;18:38
21.12;06:06;11:44;17:22;11:15:59;−0:02;04:50;05:16;05:43;17:46;18:12;18:39
22.12;06:07;11:45;17:23;11:15:58;−0:01;04:50;05:17;05:44;17:46;18:13;18:39
23.12;06:07;11:45;17:23;11:15:58;0:00;04:51;05:17;05:44;17:47;18:13;18:40
24.12;06:08;11:46;17:24;11:16:00;+0:02;04:51;05:18;05:45;17:47;18:14;18:40
25.12;06:08;11:46;17:24;11:16:03;+0:03;04:52;05:18;05:45;17:48;18:14;18:41
26.12;06:09;11:47;17:25;11:16:07;+0:04;04:52;05:19;05:46;17:48;18:15;18:41
27.12;06:09;11:47;17:25;11:16:12;+0:05;04:53;05:19;05:46;17:49;18:15;18:42
28.12;06:10;11:48;17:26;11:16:18;+0:06;04:53;05:20;05:46;17:49;18:16;18:42
29.12;06:10;11:48;17:26;11:16:25;+0:07;04:54;05:20;05:47;17:50;18:16;18:43
30.12;06:10;11:49;17:27;11:16:34;+0:09;04:54;05:21;05:47;17:50;18:17;18:43
31.12;06:11;11:49;17:28;11:16:44;+0:10;04:54;05:21;05:48;17:51;18:17;18:44
2023
01.01;06:11;11:50;17:28;11:16:54;+0:10;04:55;05:21;05:48;17:51;18:18;18:44
02.01;06:12;11:50;17:29;11:17:05;+0:11;04:55;05:22;05:48;17:52;18:19;18:45
03.01;06:12;11:51;17:29;11:17:18;+0:13;04:56;05:22;05:49;17:52;18:19;18:45
04.01;06:12;11:51;17:30;11:17:32;+0:14;04:56;05:22;05:49;17:53;18:20;18:46
05.01;06:13;11:51;17:30;11:17:47;+0:15;04:56;05:23;05:49;17:54;18:20;18:47
06.01;06:13;11:52;17:31;11:18:03;+0:16;04:57;05:23;05:50;17:54;18:21;18:47
07.01;06:13;11:52;17:32;11:18:20;+0:17;04:57;05:24;05:50;17:55;18:21;18:48
08.01;06:13;11:53;17:32;11:18:38;+0:18;04:58;05:24;05:50;17:55;18:22;18:48
09.01;06:14;11:53;17:33;11:18:57;+0:19;04:58;05:24;05:51;17:56;18:22;18:49
10.01;06:14;11:54;17:33;11:19:17;+0:20;04:58;05:24;05:51;17:56;18:23;18:49
11.01;06:14;11:54;17:34;11:19:38;+0:21;04:58;05:25;05:51;17:57;18:23;18:50
12.01;06:14;11:54;17:34;11:20:00;+0:22;04:59;05:25;05:51;17:57;18:24;18:50
13.01;06:15;11:55;17:35;11:20:23;+0:23;04:59;05:25;05:52;17:58;18:24;18:51
14.01;06:15;11:55;17:36;11:20:47;+0:24;04:59;05:25;05:52;17:58;18:25;18:51
15.01;06:15;11:56;17:36;11:21:12;+0:25;05:00;05:26;05:52;17:59;18:25;18:52
16.01;06:15;11:56;17:37;11:21:38;+0:26;05:00;05:26;05:52;18:00;18:26;18:52
17.01;06:15;11:56;17:37;11:22:04;+0:26;05:00;05:26;05:52;18:00;18:26;18:52
18.01;06:15;11:57;17:38;11:22:32;+0:28;05:00;05:26;05:53;18:01;18:27;18:53
19.01;06:15;11:57;17:38;11:22:59;+0:27;05:00;05:26;05:53;18:01;18:27;18:53
20.01;06:15;11:57;17:39;11:23:29;+0:30;05:01;05:27;05:53;18:02;18:28;18:54
21.01;06:16;11:58;17:40;11:23:59;+0:30;05:01;05:27;05:53;18:02;18:28;18:54
22.01;06:16;11:58;17:40;11:24:29;+0:30;05:01;05:27;05:53;18:03;18:29;18:55
23.01;06:16;11:58;17:41;11:25:00;+0:31;05:01;05:27;05:53;18:03;18:29;18:55
24.01;06:16;11:58;17:41;11:25:32;+0:32;05:01;05:27;05:53;18:04;18:30;18:56
25.01;06:16;11:59;17:42;11:26:06;+0:34;05:01;05:27;05:53;18:04;18:30;18:56
